1013	BCR_ABL	2.54E-65
1047	TP53	2.79E-37
1017	EWS_FLI1	1.03E-26
34	BCR_ABL	4.15E-26
1061	BRAF	2.51E-25
1036	BRAF	1.25E-24
1060	BRAF	4.00E-17
1019	BCR_ABL	5.12E-17
1029	KDR	2.05E-15
29	BRAF	2.57E-15
1014	BRAF	6.34E-15
1021	BCR_ABL	1.27E-14
51	CDKN2A	1.33E-13
52	BCR_ABL	5.57E-13
56	BCR_ABL	1.81E-12
1054	CDKN2A	2.43E-12
51	BCR_ABL	4.69E-12
1062	BRAF	1.21E-11
1023	FLT3	1.75E-11
1054	RB1	2.38E-11
56	CDKN2A	3.19E-11
1011	NOTCH1	7.79E-10
1032	ERBB2	1.91E-09
1028	MLL_AFF1	8.98E-09
1015	BRAF	9.75E-09
1021	KDR	2.40E-08
38	CDKN2A	2.57E-08
1016	APC	3.82E-08
1	CDKN2A	4.11E-08
119	ERBB2	5.36E-08
37	BCR_ABL	5.63E-08
1047	BRAF	1.61E-07
146	JAK2	2.16E-07
1023	ALK	2.28E-07
1025	MYCN	2.65E-07
1047	MYCN	2.68E-07
34	TSC1	3.19E-07
37	CDKN2C	8.96E-07
1049	FGFR2	1.01E-06
1003	EWS_FLI1	1.06E-06
119	CCND1	1.49E-06
1060	NRAS	1.96E-06
38	BCR_ABL	2.03E-06
166	FLCN	2.12E-06
119	MET	2.43E-06
62	CDKN2A	2.89E-06
1060	KRAS	3.08E-06
88	FBXW7	3.35E-06
1013	KDM6A	4.89E-06
1033	EWS_FLI1	8.21E-06
34	KDR	9.91E-06
59	CDKN2A	1.01E-05
1062	NRAS	1.12E-05
1039	FLT3	1.17E-05
1057	APC	1.21E-05
1010	BCR_ABL	1.38E-05
151	MYC	1.57E-05
59	SMAD4	1.66E-05
9	CDKN2A	2.03E-05
1033	MYC	2.26E-05
1021	KRAS	2.34E-05
55	FLT3	2.62E-05
1032	EGFR	2.63E-05
119	SMAD4	2.66E-05
1059	TET2	2.69E-05
1046	TET2	3.09E-05
1042	SMARCB1	3.29E-05
156	PIK3CA	3.56E-05
190	MYC	3.92E-05
52	CDKN2A	5.03E-05
1005	EWS_FLI1	5.25E-05
1032	CCND1	5.98E-05
185	CCND3	6.14E-05
32	BCR_ABL	6.70E-05
119	CDH1	7.05E-05
192	MYCL1	7.18E-05
1	SMAD4	7.44E-05
104	CDKN2A	7.55E-05
32	CDKN2A	7.72E-05
34	CDKN2A	8.15E-05
1004	APC	8.37E-05
1014	NRAS	8.58E-05
1037	APC	0.000106167
192	FAM123B	0.000110183
29	ALK	0.000118039
38	NRAS	0.000119373
1058	APC	0.000126965
1013	KDR	0.000128123
55	CDKN2A	0.00013488
156	BRAF	0.00013691
1020	CDK6	0.000137341
182	PTEN	0.000137752
182	BRAF	0.000139914
1004	EWS_FLI1	0.0001447
52	NRAS	0.000155395
173	SETD2	0.00016606
1015	NRAS	0.00016919
1019	PTEN	0.000183732
5	KDR	0.000191622
1042	ALK	0.000192377
1010	CCND1	0.000198708
1032	NRAS	0.000225274
1013	SMARCB1	0.000233916
11	CDKN2A	0.000241552
1021	SMARCB1	0.000244818
1023	STK11	0.000247508
1049	PDGFRA	0.000248326
1011	MLL_AFF1	0.000249222
182	MYC	0.000251598
1009	BCR_ABL	0.000256432
1050	NOTCH1	0.000260734
