Genes	TCGA-02-0003-01A	TCGA-02-0033-01A	TCGA-02-0047-01A	TCGA-02-2470-01A	TCGA-02-2483-01A	TCGA-02-2485-01A	TCGA-02-2486-01A	TCGA-06-0122-01A	TCGA-06-0124-01A
AACS	-2.00496457548743	-2.48499477445843	0.850744119419305	-0.884379115511765	-1.04825292588952	-1.87116925418366	-1.46906351373048	-1.8854809499917	-1.8345613359139
FSTL1	2.81350564109843	2.46270980540998	-3.31853900867541	3.1605174972348	2.36781870463484	3.5948163874722	2.93209315992969	3.14307708869489	3.1979141301566
CREB3L1	0	0	3.23616926287875	0.379978286502254	0	0.500364799183605	-0.700288254113455	0	0
RPS11	0.60623605866985	0.67612228207825	0	0	0	0.710149314113451	0.711131476918251	0	0
ELMO2	-1.24976494226846	-2.41619822138318	-2.05596118464506	0	0	0	0	0	-0.85426246131324
PNMA1	-3.52549732324639	-5.08031777458042	-2.85577923161807	-0.3206549644367	-0.4076631935083	0	-0.57505775856435	-1.15568335656	-0.78066052493231
MMP2	4.09765336763724	1.22204232601878	-1.32849508025937	3.24774022570107	2.8344562781981	1.68870029481986	2.00257361480418	2.19265979504353	2.82621683632119
SAMD4A	-0.287688833177035	-0.337894631951214	0	0.352442576688875	0	0	0.881767713753305	1.07528218082392	0.331524777393746
SMARCD3	-4.17122971264812	-4.40081033973927	-3.77447583687345	0	-1.36924521442359	-0.677849981025245	-1.02928641225182	-1.92735965074773	-1.80373474846649
C9orf39	0	0.636130020390185	0.762109132501755	0.346068842746795	0.451329372075345	0.912129133104135	0	0.497629089979784	0.363201174604405
A4GNT	0	0.868398477940755	0.328370434067125	0	0	0	0	0	0
PKNOX2	-1.60685271647298	-1.59740350011494	-1.58541740168466	0	0	0	0	-0.494167168405349	0
RALYL	-5.52066684409655	-5.00734436320522	-4.84249875084533	-1.80232863741954	-3.79382666956787	-0.683032139145521	-5.13704154373611	-5.29067220459529	-5.31850193615643
ERCC5	0.706577833754666	-1.17532366075026	0	0.896587711225656	1.24005693494159	0.815256585273175	0.943353982355696	0	0.729078952302705
ZHX3	-0.96660921723858	-0.705597912072751	-0.80976532275848	0.443345051842259	0.406326011711809	1.04142234571173	0	0.65368612563499	0
RXFP3	0	0	0	0	0	-0.2319471622515	-0.29291186059276	0	0
APBB2	-0.654160918902809	-0.62201351127058	-0.59524565115627	1.1197233997143	2.02773197859932	1.19767938125363	0.41009477377072	0	0.543653410189671
BBOX1	-2.99672506303029	-2.56224875149868	-3.13726154341182	1.9266646399885	-0.95936510002992	2.55469751341655	2.5966581985624	1.77467168584615	1.8028313747934
PRO0478	0.20001002156491	1.10338023431469	0.49705516374501	-0.29594922620623	-0.25026149718868	0	0	0	-0.27326245543122
XDH	0	0	1.73619114869347	0	0	-0.702483471195195	0	0	0
GCSH	-0.721264914009137	-1.94417154737593	0	0	0.654623188540175	0.994356230348444	0	0	0
EDN1	0	1.60804593807441	0	0	0	2.72470708187129	0	0	0
MTERF	0	0	0	0.913567369036905	0	1.15878647161095	1.07291200605234	0	0.748171775239086
PDCL3	1.06804519835669	-0.48581347087516	-0.42242524737088	1.23735027831617	1.77728855107605	1.41338171345209	1.82319130722798	1.33774378736492	1.44231179656046
CLK4	0	0	0.57443984400851	0	0	1.20505888334131	0.77373142150789	0.59366629999737	1.10307543697746
DECR1	0	0	3.0948477153009	1.20465196663244	1.35488676737247	0.998849051657819	1.27072843234477	1.1156229424824	1.17082845839532
KCNG1	-0.624572889753366	-0.500683584279466	-0.429448086935436	0	-0.699279344430236	-0.537758595012586	-0.378746292212456	-1.17054628000065	-0.784511519426726
CXCR4	3.497025852811	3.56257483914553	-0.84939858499072	3.25177709197782	2.75180852324719	4.03044010472872	3.10713489492952	2.4886124257552	3.31406722237609
SALL1	-1.23441148511848	-0.897792747007796	-1.1359329763679	1.87888362266168	2.79342412548523	3.46183907884268	2.39124250407808	2.52567337586096	2.35137555542673
PTPRR	-3.00319988438083	-2.06365256404333	-1.08295751554935	-1.10959995864859	-2.98038576786201	-2.70442261386548	-2.51689294410923	-2.78392993759342	-2.88472836655307
CADM4	-0.24074785983303	0	0	0.30436377816445	0.3712504024391	0.381213159083369	0.43987236748632	0	0
IRAK1	0.679877395955174	-2.41765839775005	0	0.647186563331635	1.29639744604658	0	1.81504509904132	0.823383238700695	0.628521841769174
CFHR5	0	0	0	0	0	0	0	0	0
HNRPD	0.92501983580547	-2.08125562619478	-0.66322359383355	0	1.47207529521642	0.785723425554581	0	0.517972143201	0.42714912282316
TMSB10	0	0	0	0.61694538332665	0	0	0.61779072827675	0	0
CXCL3	0	2.83988726519399	0	0	-0.689686130241276	0	2.98837176777374	0.972165015364835	4.71801249731737
LMAN1	1.36150801426155	0.77545489492064	4.24637354943758	0	0	0	0	1.4307400198842	0.952919897549039
SUHW1	0	0	0	0	0	0	-0.30461751005976	0	0
CHD8	0	-0.94470331939441	0	0.75642002988608	0.87242255433278	1.0293136257039	0	0.859849747689969	0.7021132479348
SUMO1	0	0.674622251041269	0	0	0.90789036331873	0	0	0	0
GP1BA	0	0.31160857750096	0	0	-0.26511219261082	0	-0.25833285669305	0	0
OR7A10	0	0	0	0	0	-0.24659854686915	0	0	0
DDB1	0	-1.51918241401707	-0.476848220407141	0	0	0	0	-0.379187746809471	-0.349022349383081
CHRNA10	0	0	0	0	0	0	0	0	0
STYK1	-0.87990395652213	0	-1.01978571837076	0	-1.63227622582868	-1.53351647928856	-1.45554773000369	-1.4709566659623	-1.45826012120211
MYO9B	0.368097958442285	0	0	0.646135830756755	0.962293548431935	1.08490082346008	0.706631950706055	1.44158048183495	1.36387742699246
EP300	0.60596010472717	-0.880068376650931	0	0.60985436971158	1.2056275365415	1.34408414689057	0.524254304351899	1.24899428311102	1.02936715477539
CCNI	-0.631287665920299	-2.10860780570471	-1.59297398340096	0	0	-0.644227282799099	0	-0.6736758084096	-0.599724485167899
MMP7	3.55181837275613	7.07345379004414	0	2.12361427432915	0	0	0	0	5.81454144169085
CRNKL1	-0.66057370942942	0	0	1.07710032510402	1.4911874505102	1.19559567993166	1.12679243438847	1.10474122306553	0
C9orf45	0	0	0	-0.42414591016565	0	-0.521125289300659	-0.509225344877709	-0.40293767566732	-0.49744054345653
XAB2	-0.40538422017169	-0.35785353081594	0	0	0	0	0	0.314617227211849	0
RTN1	-6.60150024489711	-7.98908877327553	-8.65598407245506	-1.53624339248815	-2.09094452605825	-3.22319294063472	-3.13388441824536	-4.32614798700147	-3.21250058651981
HIC2	0.274695953998115	0	0	0	0.405360764950835	0.619656228762755	-0.219643392820055	0	0
TBX10	0	0	0	0	0	0	0	0	0
UTY	0	0	0	0	0	0.426688524977665	0.393173567032735	0	0
CENPQ	0	0.499405036252369	0.71460143759688	1.21197840073161	1.89447633409892	2.03712941982247	1.43811917952137	0.545504535495439	0.67353385604374
OR2W1	0	0	0	-0.33108265626941	-0.24942859489422	-0.31318795397716	-0.25966460177051	-0.26641203433509	-0.31808746632665
ATP5G2	0	0	0.629464770470149	0	0.97454073169015	0	0.71965464398855	0	0
ZEB1	-1.02026721033263	-1.7211734327313	-2.36907923915539	1.5494806317515	2.22778957502497	1.84543439691569	0.884960614840445	2.18998352845442	1.88870355742576
ZG16	0	0	0.375502875068805	0	-0.180841934892985	-0.293589420352085	0	0	-0.208416967466275
ERG	0.740199886188464	0	-0.460319231069995	0	0.739001307137594	0.714277989267365	-0.414541348916295	-0.393680366671536	0
PARN	0	-0.832019015779109	0	1.01884459925479	0.8098043000563	1.15286681142615	0.649865717734111	0	0.61668621277051
SOD2	2.71114040560806	2.00213539583959	0.549096447970695	4.42846380161602	2.37235304144204	2.94784282184888	5.10399921649678	4.36611268744253	4.75476119691844
JOSD3	0	0	0	0	0	0	0.732772471416505	0	0
CHD9	0	0	0	0.798250442288545	1.57898976824534	1.81212294300152	0	1.19357247669133	1.0596114490442
ADAM5P	0	0.406870298295295	0.264374477697085	0	-0.263673965187226	0	0	0	0
STK16	0	1.18262091598678	1.10635395220192	0	0	0	1.2824487421466	0	0
PDE1C	0	0	0	0	-0.588791967009319	0	0	-0.39462647925286	0
SEMA4D	0	-1.99657870098673	-2.2775435876152	-0.73866496810724	-1.45676279331485	-1.66639649913864	-1.17906972061452	-1.28227645243713	-1.952057353338
AGPAT1	-1.52985263475968	-2.13255877533728	-0.61522151831215	0.762759459958991	0	0	0	0	0
TOB2	0	-1.29000984713378	0	1.26376541688753	1.34879741177773	2.53164248336706	0.96395516583895	1.42091266017436	0.87109099316897
BANK1	3.13642945725062	2.55733076636441	1.08421059592547	0	-0.40983620520981	0	0	0	-0.47215774717031
MAP3K3	0.591604324222035	0	-0.283209475949125	0	0.888397487612635	0	0.775162218915075	0.297483811725055	0.407578112520025
MAX	0	0	0	0	0	0.414732796596775	1.13518835205115	0.427292955778795	0
GRM2	-0.27526044624535	0	0.53988627152863	0	-0.25422816625293	-0.43487892484302	0	-0.33913316869336	0
OSBPL8	0	0	0	1.28547575486383	1.41816414302353	1.0491508237158	0.806013509820575	1.13096751976268	0.980601075825396
PROSC	-0.34202380752607	-1.14436041714814	-0.651470546259429	0	0	0	0	0	0
NR4A2	-1.20621725233059	0	2.65411587956628	-1.48632846050372	0	2.3791386623517	-0.952575557343949	-1.01926074788786	-0.800782227623909
RICS	-3.58792458380186	-3.49709374633952	-3.13423192004529	-1.23619993577911	-1.14644212527175	-1.32511089669136	-2.10157797125337	-2.12914020469438	-2.26898068820182
PIR	2.51731505186175	1.82160447143524	0	1.60101758315515	-1.34292085573037	1.19859281034863	2.51369498474241	0	0
LONP1	0	-1.84454375643076	2.24093214643822	1.19969454300298	1.54795215253395	1.73219547672567	1.207279279219	1.41205658752654	0.891599731085179
IPO9	0	-1.72158338274282	0	0	1.21544164847028	1.55134765605925	0.635522358487525	0.743731820384244	0
PPCS	0.920263899607306	1.78578346687033	0	1.01970897597032	0	0	1.31823334611268	0	0
EVC	0.438460122037435	0.283370915310315	0.380947923760205	0.366049037121225	0	0	0.499522285027675	0.597942618616505	0.394982927844325
CXCL13	6.20345207072993	5.63394401628723	0	0.64283201025153	-0.23256363612569	0.80705010391196	0	-0.3843844083228	1.49040973876806
SCYL3	0.28764083196984	0.37388699954153	0.57523101754847	0.2817772993138	0.73987743081734	0.77655423349558	1.2030069702935	0.58396995879616	0
KIAA1199	0	0	0	0	-2.05372952923402	0	0	0	0
SORL1	-1.40705980002772	-3.30997304739346	-3.40606179087512	0	-1.43930659802817	0	0	-0.750990652265671	-0.97513584656812
NAT10	0.738138419914255	-0.738430459477405	1.013050197372	0.829731533390205	1.02287269486288	1.34748757049146	0.986319158663505	0	0
CHD1	1.2158538765111	0	2.16521538348315	2.07583548834824	2.38648453056909	2.96025305811842	2.03076220627265	2.84033228769127	2.72246731403705
SYN3	-2.2275641849959	-1.85916241625839	-1.99323804336646	-1.09724051583836	0	-1.55963844346616	-1.6794682533146	-1.80505729310274	-2.02201966653654
SLC22A2	0	0	0	0	0	0	0	0	0
DMC1	0.193931967195844	0.272181142837525	0.206012281300454	0	0	0	0	0	0
SERPINF1	1.65532693360102	0	-4.95548090488631	0	-0.68087666046258	-1.88891750650268	-0.514107017384209	-0.860088759528079	0
C20orf27	-0.51141588149823	-1.02069016755549	-1.00176863137113	0	0.985327910803599	0	0.78886308829281	0	0
OR7A17	0	0	0	0	0	0	0	0	0
RPS6KA5	-0.579293349880224	-0.965411007480824	-1.79314977637252	0	0	0	0	-1.55315684099312	-1.98960717316514
LHB	0	0.679283729769961	0.908961654373051	0	0	0	0	0	0
TAOK3	0	-1.0056682440113	-1.41536037262389	0.320445443114126	0.297481084111306	0.545325365082446	0.374258391254705	0.691994309314356	0.339223675608656
STK25	-1.83407041930205	-2.79560384238933	-1.95408939200737	0	0	0	0	0	-0.98608682884459
SLC12A4	0	0.2311358956422	0	0	0	0	0	0	0
BRCA1	0.508734608038234	0.638075317040505	1.13380335636684	1.15305802750883	1.45646730710248	1.48426230446128	0.689727173560675	0.933558326391434	1.13099028471511
GBL	0	-1.66562502986832	0.80091909560852	0.82744983770618	0.983272803016639	0	0	0	0
C14orf108	-0.693045984464681	-1.79632970686683	1.16316668121603	0.40007319012525	0.471364555815589	0.380344321284708	0.343674267165099	0	0
CDC25B	0.937755797920735	-0.629734416517255	0	1.12580304362461	2.35714645045259	1.75351662347559	1.24514329875459	1.6390831300631	1.55156194785449
BMP3	0	0	0	-0.31502981339203	-0.38552716593213	-0.34003353421379	0	0	-0.30452821506584
MAP1LC3C	0	0.4535751555269	0.289580817439649	0.62437010659344	-0.280235462194961	2.98411872981275	0.773073909839959	0.3614352500378	0
TMEM180	-0.91908070677279	-0.98247866539608	-0.63387182435505	0	0	-0.90897915787662	0	-0.99539036259094	-1.03969375909637
CRYGC	0	0.463723046415125	0	-0.502186675199176	-0.375921425939265	-0.466075580795356	-0.386605358574656	-0.533412282715726	-0.457571021193965
SLK	0.56364586219162	0	2.19979225356166	1.44745440809961	0.617414203621431	0.539075028129771	1.06250107533426	0.555833937638281	0.723821988059391
POU3F1	-0.346781593688455	0	0	-0.428194433140825	0	-0.408072581464876	0	0	0
C20orf32	0	0.20277079778803	-0.25160851511715	-0.26701027554739	-0.35933074701041	-0.27510928233023	-0.24117266597356	-0.25924975573751	-0.510594109779221
USP52	0	0	0	0	1.23157478358879	2.01107734514202	1.48028569902248	1.82279572577858	1.31190365488634
HIGD1B	-0.745353032584745	0	-0.877428954704775	-1.06292298411636	0.887008373373125	0	-0.846410073990935	-1.02125019781908	0
USP6NL	0	0	0	0.660690069934979	1.78002346150919	1.60394815458596	0.841582127200049	0	0
