GENE	TYPE	SAMPLE_ID	MODULE
NF1	DRIVER	0	0
RRAS	PHENOTYPE	0	0
TP53	DRIVER	0	1
TYMS	PHENOTYPE	0	1
PTEN	DRIVER	0	2
SYNJ1	PHENOTYPE	0	2
TF	PHENOTYPE	0	2
AGT	DRIVER	1	0
EGFR	DRIVER	1	0
ELMO1	DRIVER	1	0
PIK3R1	DRIVER	1	0
TP53	DRIVER	1	0
GABRG2	PHENOTYPE	1	0
HCK	PHENOTYPE	1	0
ITGB2	PHENOTYPE	1	0
PAK3	PHENOTYPE	1	0
PIK3R1	PHENOTYPE	1	0
SFN	PHENOTYPE	1	0
SH3GL2	PHENOTYPE	1	0
SHC3	PHENOTYPE	1	0
SNCA	PHENOTYPE	1	0
SNCB	PHENOTYPE	1	0
STAT1	PHENOTYPE	1	0
TNFAIP8	PHENOTYPE	1	0
TRIM22	PHENOTYPE	1	0
TUBB4	PHENOTYPE	1	0
VAMP2	PHENOTYPE	1	0
VAMP8	PHENOTYPE	1	0
VCAN	PHENOTYPE	1	0
YWHAH	PHENOTYPE	1	0
EPS8	PHENOTYPE	1	0
ERBB4	PHENOTYPE	1	0
FGF12	PHENOTYPE	1	0
FGF13	PHENOTYPE	1	0
FGF14	PHENOTYPE	1	0
FGF9	PHENOTYPE	1	0
HCK	PHENOTYPE	1	0
HDAC1	PHENOTYPE	1	0
IRF1	PHENOTYPE	1	0
IRF8	PHENOTYPE	1	0
ITGB2	PHENOTYPE	1	0
JUP	PHENOTYPE	1	0
KRT17	PHENOTYPE	1	0
KRT18	PHENOTYPE	1	0
KRT19	PHENOTYPE	1	0
KRT5	PHENOTYPE	1	0
KRT8	PHENOTYPE	1	0
LAMB1	PHENOTYPE	1	0
LAMC1	PHENOTYPE	1	0
MMP2	PHENOTYPE	1	0
MUC1	PHENOTYPE	1	0
MYC	PHENOTYPE	1	0
NID1	PHENOTYPE	1	0
PAK3	PHENOTYPE	1	0
PAK6	PHENOTYPE	1	0
PDGFC	PHENOTYPE	1	0
PIK3R1	PHENOTYPE	1	0
PLAU	PHENOTYPE	1	0
RAP1GAP	PHENOTYPE	1	0
SERPINE2	PHENOTYPE	1	0
SFN	PHENOTYPE	1	0
SH3GL2	PHENOTYPE	1	0
SHC3	PHENOTYPE	1	0
SNCA	PHENOTYPE	1	0
SNCB	PHENOTYPE	1	0
STAT1	PHENOTYPE	1	0
SV2A	PHENOTYPE	1	0
SV2B	PHENOTYPE	1	0
