GENE	TYPE	SAMPLE_ID	MODULE
CDKN2A	DRIVER	0	0
HDAC1	PHENOTYPE	0	0
MYC	PHENOTYPE	0	0
PIK3R1	PHENOTYPE	0	0
CDKN2B	DRIVER	0	1
MYC	PHENOTYPE	0	1
NF1	DRIVER	0	2
RRAS	PHENOTYPE	0	2
PTEN	DRIVER	0	3
SYNJ1	PHENOTYPE	0	3
TF	EXPLAINED	0	3
TP53	DRIVER	0	4
TYMS	PHENOTYPE	0	4
CDK4	DRIVER	1	0
CKS2	PHENOTYPE	1	0
HDAC1	PHENOTYPE	1	0
MCM2	PHENOTYPE	1	0
MCM5	PHENOTYPE	1	0
MELK	PHENOTYPE	1	0
MYC	PHENOTYPE	1	0
PBK	PHENOTYPE	1	0
PCNA	PHENOTYPE	1	0
RRM2	PHENOTYPE	1	0
SHC3	PHENOTYPE	1	0
STAT1	PHENOTYPE	1	0
TRIM22	PHENOTYPE	1	0
TYMS	PHENOTYPE	1	0
VAMP8	PHENOTYPE	1	0
VCAM1	PHENOTYPE	1	0
VCAN	PHENOTYPE	1	0
YWHAH	PHENOTYPE	1	0
ZWINT	PHENOTYPE	1	0
CDK5	EXPLAINED	1	0
MAPK10	EXPLAINED	1	0
MAPK13	EXPLAINED	1	0
MAPT	EXPLAINED	1	0
MEF2C	EXPLAINED	1	0
NCF2	EXPLAINED	1	0
NEFH	EXPLAINED	1	0
NEFL	EXPLAINED	1	0
NEFM	EXPLAINED	1	0
PIN1	EXPLAINED	1	0
PTPRR	EXPLAINED	1	0
RAC2	EXPLAINED	1	0
RHOB	EXPLAINED	1	0
RHOH	EXPLAINED	1	0
RICS	EXPLAINED	1	0
S100B	EXPLAINED	1	0
SELL	EXPLAINED	1	0
SFN	EXPLAINED	1	0
SNCA	EXPLAINED	1	0
SNCB	EXPLAINED	1	0
SRGAP3	EXPLAINED	1	0
STXBP1	EXPLAINED	1	0
SYT1	EXPLAINED	1	0
TIMP1	EXPLAINED	1	0
UCHL1	EXPLAINED	1	0
VAMP2	EXPLAINED	1	0
VIP	EXPLAINED	1	0
WASF1	EXPLAINED	1	0
WASF3	EXPLAINED	1	0
CTDSP2	DRIVER	1	1
CYP27B1	DRIVER	1	2
DCTN2	DRIVER	1	3
TUBB4	PHENOTYPE	1	3
PRKAR2B	EXPLAINED	1	3
DDIT3	DRIVER	1	4
MYC	PHENOTYPE	1	4
PBK	PHENOTYPE	1	4
SHC3	PHENOTYPE	1	4
STAT1	PHENOTYPE	1	4
TRIM22	PHENOTYPE	1	4
VAMP8	PHENOTYPE	1	4
VCAM1	PHENOTYPE	1	4
VCAN	PHENOTYPE	1	4
YWHAH	PHENOTYPE	1	4
MAPK13	EXPLAINED	1	4
MAPT	EXPLAINED	1	4
MEF2C	EXPLAINED	1	4
NCF2	EXPLAINED	1	4
NEFH	EXPLAINED	1	4
NEFL	EXPLAINED	1	4
NEFM	EXPLAINED	1	4
PIN1	EXPLAINED	1	4
PTPRR	EXPLAINED	1	4
RAC2	EXPLAINED	1	4
RHOB	EXPLAINED	1	4
RHOH	EXPLAINED	1	4
RICS	EXPLAINED	1	4
S100B	EXPLAINED	1	4
SELL	EXPLAINED	1	4
SFN	EXPLAINED	1	4
SNCA	EXPLAINED	1	4
SNCB	EXPLAINED	1	4
SRGAP3	EXPLAINED	1	4
STXBP1	EXPLAINED	1	4
SYT1	EXPLAINED	1	4
TIMP1	EXPLAINED	1	4
UCHL1	EXPLAINED	1	4
VAMP2	EXPLAINED	1	4
VIP	EXPLAINED	1	4
WASF1	EXPLAINED	1	4
WASF3	EXPLAINED	1	4
EGFR	DRIVER	1	5
EPS8	PHENOTYPE	1	5
ERBB4	PHENOTYPE	1	5
FGF12	PHENOTYPE	1	5
FGF13	PHENOTYPE	1	5
FGF14	PHENOTYPE	1	5
FGF9	PHENOTYPE	1	5
HCK	PHENOTYPE	1	5
HDAC1	PHENOTYPE	1	5
IRF1	PHENOTYPE	1	5
JUP	PHENOTYPE	1	5
KRT17	PHENOTYPE	1	5
KRT18	PHENOTYPE	1	5
KRT19	PHENOTYPE	1	5
KRT5	PHENOTYPE	1	5
KRT8	PHENOTYPE	1	5
LAMB1	PHENOTYPE	1	5
LAMC1	PHENOTYPE	1	5
MUC1	PHENOTYPE	1	5
MYC	PHENOTYPE	1	5
NID1	PHENOTYPE	1	5
PAK3	PHENOTYPE	1	5
PAK6	PHENOTYPE	1	5
PDGFC	PHENOTYPE	1	5
PIK3R1	PHENOTYPE	1	5
PLAU	PHENOTYPE	1	5
RAP1GAP	PHENOTYPE	1	5
SH3GL2	PHENOTYPE	1	5
SHC3	PHENOTYPE	1	5
STAT1	PHENOTYPE	1	5
SV2A	PHENOTYPE	1	5
SV2B	PHENOTYPE	1	5
TNC	PHENOTYPE	1	5
TRIM22	PHENOTYPE	1	5
TUBB4	PHENOTYPE	1	5
VAMP8	PHENOTYPE	1	5
VCAM1	PHENOTYPE	1	5
VCAN	PHENOTYPE	1	5
YWHAH	PHENOTYPE	1	5
IRF8	EXPLAINED	1	5
ITGB2	EXPLAINED	1	5
LAMB3	EXPLAINED	1	5
LCK	EXPLAINED	1	5
LCP2	EXPLAINED	1	5
MMP1	EXPLAINED	1	5
MMP12	EXPLAINED	1	5
MMP2	EXPLAINED	1	5
MMP7	EXPLAINED	1	5
MMP9	EXPLAINED	1	5
NCF2	EXPLAINED	1	5
PLCG2	EXPLAINED	1	5
PPP3CA	EXPLAINED	1	5
PPP3R1	EXPLAINED	1	5
PRKACB	EXPLAINED	1	5
PRKAR2B	EXPLAINED	1	5
PTPRC	EXPLAINED	1	5
PTPRCAP	EXPLAINED	1	5
RAC2	EXPLAINED	1	5
RGS13	EXPLAINED	1	5
RGS17	EXPLAINED	1	5
RGS4	EXPLAINED	1	5
RHOB	EXPLAINED	1	5
RHOH	EXPLAINED	1	5
RICS	EXPLAINED	1	5
SELL	EXPLAINED	1	5
SERPINE2	EXPLAINED	1	5
SFN	EXPLAINED	1	5
SNCA	EXPLAINED	1	5
SNCB	EXPLAINED	1	5
SRGAP3	EXPLAINED	1	5
TAP1	EXPLAINED	1	5
TFPI	EXPLAINED	1	5
TIMP1	EXPLAINED	1	5
TNFAIP8	EXPLAINED	1	5
TRAF3IP3	EXPLAINED	1	5
UCHL1	EXPLAINED	1	5
UCP2	EXPLAINED	1	5
VAMP2	EXPLAINED	1	5
VIP	EXPLAINED	1	5
WASF1	EXPLAINED	1	5
WASF3	EXPLAINED	1	5
ELMO1	DRIVER	1	6
HCK	PHENOTYPE	1	6
MSN	PHENOTYPE	1	6
PAK3	PHENOTYPE	1	6
PIK3R1	PHENOTYPE	1	6
SHC3	PHENOTYPE	1	6
STAT1	PHENOTYPE	1	6
TRIM22	PHENOTYPE	1	6
TUBB4	PHENOTYPE	1	6
VAMP8	PHENOTYPE	1	6
VCAM1	PHENOTYPE	1	6
VCAN	PHENOTYPE	1	6
YWHAH	PHENOTYPE	1	6
ITGB2	EXPLAINED	1	6
LCP2	EXPLAINED	1	6
PLCG2	EXPLAINED	1	6
PPP3CA	EXPLAINED	1	6
PPP3R1	EXPLAINED	1	6
PRKACB	EXPLAINED	1	6
PRKAR2B	EXPLAINED	1	6
PTPRC	EXPLAINED	1	6
PTPRCAP	EXPLAINED	1	6
RAC2	EXPLAINED	1	6
RGS13	EXPLAINED	1	6
RGS17	EXPLAINED	1	6
RGS4	EXPLAINED	1	6
RHOB	EXPLAINED	1	6
RHOH	EXPLAINED	1	6
RICS	EXPLAINED	1	6
SELL	EXPLAINED	1	6
SFN	EXPLAINED	1	6
SNCA	EXPLAINED	1	6
SNCB	EXPLAINED	1	6
SRGAP3	EXPLAINED	1	6
SRGN	EXPLAINED	1	6
TAP1	EXPLAINED	1	6
TIMP1	EXPLAINED	1	6
TNFAIP8	EXPLAINED	1	6
TRAF3IP3	EXPLAINED	1	6
UCHL1	EXPLAINED	1	6
UCP2	EXPLAINED	1	6
VAMP2	EXPLAINED	1	6
VIP	EXPLAINED	1	6
WASF1	EXPLAINED	1	6
WASF3	EXPLAINED	1	6
GLI1	DRIVER	1	7
HDAC1	PHENOTYPE	1	7
LMO3	PHENOTYPE	1	7
TUBB4	PHENOTYPE	1	7
GNAO1	EXPLAINED	1	7
GNAZ	EXPLAINED	1	7
PRKACB	EXPLAINED	1	7
PRKAR2B	EXPLAINED	1	7
WNT5A	EXPLAINED	1	7
HLA-DRB1	DRIVER	1	8
IGHM	PHENOTYPE	1	8
IGKC	PHENOTYPE	1	8
MBP	PHENOTYPE	1	8
MOG	PHENOTYPE	1	8
MSN	PHENOTYPE	1	8
PAK3	PHENOTYPE	1	8
PIK3R1	PHENOTYPE	1	8
PLP1	PHENOTYPE	1	8
PSMB8	PHENOTYPE	1	8
PSMB9	PHENOTYPE	1	8
SHC3	PHENOTYPE	1	8
STAT1	PHENOTYPE	1	8
TRIM22	PHENOTYPE	1	8
VAMP8	PHENOTYPE	1	8
VCAM1	PHENOTYPE	1	8
VCAN	PHENOTYPE	1	8
YWHAH	PHENOTYPE	1	8
HLA-F	EXPLAINED	1	8
