GENE	DRIVER_FREQUENCY	DRIVER_SNV_FREQUENCY	DRIVER_DELTION_FREQUENCY	DRIVER_AMPLIFICATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER	IMPACT	MUTATION_FREQUENCY	SNV_FREQUENCY	DELTION_FREQUENCY	AMPLIFICATION_FREQUENCY
EGFR	0.393	0.262	0.000	0.241	CC	PC	137.594931087711	0.393	0.262	0.000	0.241
CDKN2A	0.448	0.015	0.433	0.000	CC	PC	117.685167588937	0.470	0.015	0.454	0.000
TP53	0.284	0.280	0.003	0.000	CC	PC	105.791811953122	0.284	0.280	0.003	0.000
CDKN2B	0.381	0.003	0.378	0.000	-	-	101.287304668921	0.448	0.003	0.445	0.000
PTEN	0.290	0.265	0.024	0.000	CC	PC	87.6363820644734	0.314	0.290	0.024	0.000
HLA-DRB1	0.189	0.000	0.006	0.183	-	-	56.2570482813736	0.189	0.000	0.006	0.183
CDK4	0.113	0.000	0.000	0.113	CC	-	40.8830789019823	0.116	0.000	0.000	0.116
SEC61G	0.162	0.000	0.000	0.162	-	-	37.7591690204444	0.317	0.000	0.000	0.317
PIK3CA	0.091	0.088	0.000	0.003	CC	PC	37.4896291339176	0.091	0.088	0.000	0.003
PRKY	0.162	0.000	0.162	0.000	-	-	36.8844683373323	0.195	0.000	0.195	0.000
PIK3R1	0.091	0.088	0.006	0.000	CC	PC	34.7959470896905	0.091	0.088	0.006	0.000
RB1	0.067	0.061	0.009	0.000	CC	PC	27.122001231746	0.070	0.064	0.009	0.000
TBL1Y	0.067	0.000	0.067	0.000	-	-	26.0893894787508	0.195	0.000	0.195	0.000
TTN	0.052	0.052	0.000	0.000	-	-	24.8685861745656	0.207	0.207	0.000	0.000
NF1	0.055	0.055	0.000	0.000	CC	PC	22.3898988972374	0.095	0.095	0.000	0.000
DCTN2	0.061	0.003	0.003	0.058	-	-	21.7380413643815	0.064	0.003	0.003	0.061
KIT	0.073	0.012	0.000	0.061	CC	PC	20.899611241135	0.076	0.012	0.000	0.064
KLHL9	0.104	0.000	0.104	0.000	-	-	20.2307696433071	0.229	0.000	0.229	0.000
