GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
AKT3	AMPL	517.111	2.166	0.006	0.006	NA	NA
CDK4	AMPL	517.111	46.397	0.113	0.116	NA	NA
EGFR	AMPL	517.111	154.537	0.393	0.393	NA	NA
PRKY	DEL	517.111	41.272	0.162	0.195	NA	NA
MDM2	AMPL	517.111	21.170	0.049	0.076	NA	NA
SDCCAG8	AMPL	517.111	3.266	0.012	0.012	NA	NA
MACF1	MUT	517.111	4.332	0.009	0.024	NA	NA
TBL1Y	DEL	517.111	28.989	0.067	0.195	NA	NA
CDH9	MUT	19.605	0.186	0.021	0.021	NA	NA
PCDH11Y	DEL	19.605	2.107	0.186	0.198	NA	NA
PCDHGC5	MUT	19.605	1.089	0.107	0.110	NA	NA
