GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
CDK4	AMPL	1123.983	45.930	0.113	0.116	NA	NA
DDIT3	AMPL	1123.983	7.074	0.018	0.073	NA	NA
LAMA2	MUT	1123.983	11.125	0.018	0.018	NA	NA
LAMA5	MUT	1123.983	9.379	0.015	0.015	NA	NA
PIK3CA	MUT	1123.983	42.395	0.091	0.091	NA	NA
TP53	MUT	1123.983	117.197	0.284	0.284	NA	NA
VAMP7	MUT	1123.983	5.072	0.009	0.009	NA	NA
CTDSP2	AMPL	1123.983	8.861	0.018	0.095	NA	NA
NOS1	MUT	1123.983	9.259	0.018	0.018	NA	NA
PDGFRA	AMPL	1123.983	19.148	0.055	0.055	NA	NA
GLI1	AMPL	1123.983	22.139	0.040	0.064	NA	NA
DCTN2	AMPL	1123.983	24.865	0.061	0.064	NA	NA
KIF5A	AMPL	1123.983	14.878	0.037	0.064	NA	NA
