GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
ATRX	MUT	332.480	12.902	0.037	0.043	NA	NA
CDKN2A	DEL	332.480	131.720	0.448	0.470	NA	NA
SMARCA2	DEL	332.480	6.764	0.015	0.021	NA	NA
TP53	MUT	332.480	117.992	0.284	0.284	NA	NA
TSC2	MUT	332.480	5.892	0.012	0.012	NA	NA
ITGB8	MUT	332.480	8.310	0.015	0.015	NA	NA
LAMA2	MUT	332.480	11.152	0.018	0.018	NA	NA
GNGT2	MUT	332.480	1.014	0.003	0.006	NA	NA
CDKN2B	DEL	332.480	113.208	0.381	0.448	NA	NA
KLHL9	DEL	332.480	23.768	0.104	0.229	NA	NA
PCDH11Y	DEL	10.150	2.107	0.186	0.198	NA	NA
