GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
ACTA2	DEL	448.338	12.936	0.027	0.027	NA	NA
ACTR1A	DEL	448.338	5.521	0.012	0.012	NA	NA
CDC2	DEL	448.338	4.292	0.009	0.009	NA	NA
CDK4	AMPL	448.338	46.397	0.113	0.116	NA	NA
DNA2	DEL	448.338	8.871	0.021	0.021	NA	NA
MDM2	AMPL	448.338	21.170	0.049	0.076	NA	NA
ZWINT	DEL	448.338	7.149	0.012	0.015	NA	NA
DNMBP	DEL	448.338	6.812	0.018	0.024	NA	NA
EGFR	AMPL_MUT	448.338	154.537	0.393	0.393	NA	NA
FGFR2	DEL	448.338	11.997	0.027	0.027	NA	NA
SLC18A2	DEL	448.338	7.181	0.018	0.018	NA	NA
ADAM12	DEL	448.338	9.839	0.021	0.024	NA	NA
IGFBP7	DEL	448.338	2.397	0.012	0.015	NA	NA
ITGA8	DEL	448.338	5.061	0.015	0.015	NA	NA
ITGB1	DEL	448.338	8.359	0.018	0.018	NA	NA
LAMA3	MUT	448.338	4.357	0.012	0.012	NA	NA
PLAU	DEL	448.338	9.875	0.021	0.021	NA	NA
VAV2	MUT	448.338	4.080	0.009	0.009	NA	NA
BTRC	DEL	448.338	5.540	0.015	0.015	NA	NA
BUB3	DEL	448.338	9.875	0.021	0.021	NA	NA
CEP135	DEL	448.338	4.757	0.024	0.027	NA	NA
DCTN2	AMPL	448.338	25.139	0.061	0.064	NA	NA
PRKCQ	DEL	448.338	5.044	0.015	0.015	NA	NA
CREM	DEL	448.338	4.292	0.009	0.012	NA	NA
PTEN	DEL	448.338	98.650	0.290	0.314	NA	NA
CALML5	DEL	448.338	2.846	0.015	0.015	NA	NA
MAPK8	DEL	448.338	9.556	0.018	0.018	NA	NA
PDGFRA	AMPL_MUT	448.338	19.283	0.055	0.055	NA	NA
CD4	MUT	448.338	3.116	0.009	0.009	NA	NA
IFNG	DEL	448.338	15.768	0.034	0.034	NA	NA
EPC1	DEL	448.338	7.769	0.018	0.018	NA	NA
TCF7L2	DEL	448.338	7.732	0.021	0.021	NA	NA
BLNK	DEL	448.338	3.937	0.009	0.012	NA	NA
KIT	AMPL	448.338	23.224	0.073	0.076	NA	NA
NOS3	MUT	448.338	12.656	0.027	0.027	NA	NA
BCAR1	DEL	448.338	4.071	0.009	0.009	NA	NA
SMC3	DEL	448.338	6.870	0.015	0.024	NA	NA
KIF5A	AMPL	448.338	15.137	0.037	0.064	NA	NA
CDH23	DEL	4.089	2.423	0.030	0.030	NA	NA
PCDH15	DEL	4.089	0.276	0.027	0.027	NA	NA
PCDH21	DEL	4.089	0.082	0.015	0.015	NA	NA
PCDHGC5	MUT	4.089	1.089	0.107	0.110	NA	NA
PPP3CB	DEL	3.205	1.255	0.018	0.024	NA	NA
