GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
CDKN2A	DEL	789.312	131.720	0.448	0.470	NA	NA
EGFR	AMPL	789.312	154.537	0.393	0.393	NA	NA
SEC61G	AMPL	789.312	42.857	0.162	0.317	NA	NA
TEK	DEL	789.312	13.961	0.034	0.064	NA	NA
CDKN2B	DEL	789.312	113.208	0.381	0.448	NA	NA
PIK3C2B	MUT	789.312	21.359	0.052	0.055	NA	NA
PIK3C2G	MUT	789.312	8.708	0.027	0.027	NA	NA
PTEN	MUT	789.312	98.650	0.290	0.314	NA	NA
RYR3	MUT	17.748	2.313	0.040	0.052	NA	NA
PCDHGC5	MUT	6.593	1.089	0.107	0.110	NA	NA
ELAVL2	DEL	4.207	0.343	0.088	0.143	NA	NA
