GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
ACTN1	MUT	568.920	2.807	0.006	0.006	NA	NA
CDK4	AMPL	568.920	45.930	0.113	0.116	NA	NA
MDM2	AMPL	568.920	20.922	0.049	0.076	NA	NA
PSMB8	MUT	568.920	2.957	0.006	0.006	NA	NA
SMARCC2	MUT	568.920	9.577	0.015	0.015	NA	NA
EGFR	MUT	568.920	154.344	0.393	0.393	NA	NA
FRS2	AMPL	568.920	9.553	0.024	0.024	NA	NA
SEC61G	AMPL	568.920	43.251	0.162	0.317	NA	NA
CNOT2	AMPL_MUT	568.920	7.516	0.012	0.021	NA	NA
CTDSP2	AMPL	568.920	8.861	0.018	0.095	NA	NA
MED13	MUT	568.920	4.378	0.009	0.009	NA	NA
IFNG	MUT	568.920	15.398	0.034	0.034	NA	NA
HLA-DRB1	AMPL	568.920	62.907	0.189	0.189	NA	NA
