GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
CD3E	MUT	565.495	3.449	0.006	0.006	NA	NA
CDH5	MUT	565.495	3.959	0.006	0.006	NA	NA
CENPF	MUT	565.495	8.101	0.012	0.012	NA	NA
EGFR	MUT	565.495	154.537	0.393	0.393	NA	NA
EGR1	MUT	565.495	3.534	0.009	0.009	NA	NA
TP53	MUT	565.495	117.992	0.284	0.284	NA	NA
EZR	MUT	565.495	4.027	0.012	0.012	NA	NA
RB1	MUT	565.495	30.243	0.067	0.070	NA	NA
PTEN	MUT	565.495	98.650	0.290	0.314	NA	NA
MLLT4	MUT	565.495	6.371	0.015	0.015	NA	NA
