GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
CDKN2A	DEL	251.216	131.720	0.448	0.470	NA	NA
CFTR	MUT	251.216	12.316	0.021	0.021	NA	NA
DRD5	MUT	251.216	9.306	0.027	0.027	NA	NA
CDKN2B	DEL	251.216	113.208	0.381	0.448	NA	NA
COL4A5	MUT	251.216	4.189	0.012	0.012	NA	NA
FN1	MUT	251.216	9.568	0.018	0.018	NA	NA
ITGB7	MUT	251.216	2.774	0.009	0.009	NA	NA
MXD1	MUT	251.216	0.766	0.003	0.003	NA	NA
STAT3	MUT	251.216	0.766	0.003	0.003	NA	NA
KCNA4	MUT	3.589	0.024	0.006	0.006	NA	NA
