GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
ADAM12	DEL	590.826	9.839	0.021	0.024	NA	NA
CRKL	MUT	590.826	3.143	0.006	0.006	NA	NA
EGFR	AMPL	590.826	154.537	0.393	0.393	NA	NA
FGFR2	DEL	590.826	11.997	0.027	0.027	NA	NA
PIK3CD	DEL	590.826	5.198	0.012	0.012	NA	NA
VAMP3	DEL	590.826	4.140	0.012	0.012	NA	NA
ITGB7	MUT	590.826	2.774	0.009	0.009	NA	NA
HLA-DRB1	AMPL	590.826	63.006	0.189	0.189	NA	NA
PLAU	DEL	590.826	9.875	0.021	0.021	NA	NA
SEC61G	AMPL	590.826	42.857	0.162	0.317	NA	NA
RERE	DEL	590.826	8.568	0.018	0.027	NA	NA
BUB3	DEL	590.826	9.875	0.021	0.021	NA	NA
CDKN2A	MUT	590.826	131.720	0.448	0.470	NA	NA
DFFB	DEL	590.826	5.836	0.009	0.009	NA	NA
DNA2	DEL	590.826	8.871	0.021	0.021	NA	NA
MYST4	DEL	590.826	4.523	0.012	0.030	NA	NA
CDH23	DEL	10.309	2.423	0.030	0.030	NA	NA
PPP3CB	DEL	3.710	1.255	0.018	0.024	NA	NA
