GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
DNMBP	MUT	441.101	6.812	0.018	0.024	NA	NA
EGFR	MUT	441.101	154.537	0.393	0.393	NA	NA
GABRB2	MUT	441.101	4.842	0.015	0.015	NA	NA
PIK3CA	MUT	441.101	42.457	0.091	0.091	NA	NA
SH3GL3	MUT	441.101	1.794	0.006	0.006	NA	NA
PRKDC	MUT	441.101	3.707	0.021	0.021	NA	NA
IGF2R	MUT	441.101	3.976	0.006	0.006	NA	NA
CDKN2A	DEL	32.949	131.720	0.448	0.470	NA	NA
CDKN2B	DEL	32.949	113.208	0.381	0.448	NA	NA
CDH19	MUT	3.809	0.039	0.006	0.006	NA	NA
KLHL9	DEL	2.695	23.768	0.104	0.229	NA	NA
