GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
CBLB	MUT	336.977	1.027	0.003	0.003	NA	NA
PIK3R1	MUT	336.977	39.345	0.091	0.091	NA	NA
PRKY	DEL	336.977	41.272	0.162	0.195	NA	NA
KCNG1	MUT	336.977	1.063	0.009	0.012	NA	NA
CDKN2A	DEL	336.977	131.720	0.448	0.470	NA	NA
NOTCH2	MUT	336.977	1.027	0.003	0.009	NA	NA
CDKN2B	DEL	336.977	113.208	0.381	0.448	NA	NA
FGF13	MUT	336.977	1.027	0.003	0.003	NA	NA
PCDH11Y	DEL	7.603	2.107	0.186	0.198	NA	NA
SEC61G	AMPL	6.527	42.857	0.162	0.317	NA	NA
