GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
ANK2	MUT	936.863	11.137	0.030	0.030	NA	NA
APOB	MUT	936.863	6.264	0.012	0.040	NA	NA
BSG	DEL	936.863	3.742	0.006	0.006	NA	NA
FBN2	DEL	936.863	7.253	0.018	0.021	NA	NA
GNA14	DEL	936.863	2.856	0.003	0.003	NA	NA
MAPK8	DEL	936.863	9.556	0.018	0.018	NA	NA
MAPK8IP1	DEL	936.863	2.856	0.003	0.006	NA	NA
MCM6	AMPL	936.863	4.309	0.009	0.009	NA	NA
NCK2	AMPL	936.863	2.856	0.003	0.003	NA	NA
NRXN1	MUT	936.863	4.727	0.009	0.015	NA	NA
PRKACG	DEL	936.863	2.856	0.003	0.003	NA	NA
PTBP1	DEL	936.863	2.856	0.003	0.009	NA	NA
RAD50	DEL	936.863	2.866	0.006	0.006	NA	NA
RASA1	DEL	936.863	2.856	0.003	0.003	NA	NA
TP53	MUT	936.863	117.992	0.284	0.284	NA	NA
VCAN	DEL	936.863	3.928	0.009	0.009	NA	NA
ZWINT	DEL	936.863	7.149	0.012	0.015	NA	NA
NCAPH	AMPL	936.863	2.856	0.003	0.003	NA	NA
SMARCA2	DEL	936.863	6.764	0.015	0.021	NA	NA
NF1	MUT	936.863	25.365	0.055	0.095	NA	NA
PTPRD	DEL_MUT	936.863	2.856	0.003	0.015	NA	NA
CDH16	MUT	25.376	0.088	0.006	0.006	NA	NA
PCDH15	DEL	25.376	0.276	0.027	0.027	NA	NA
HLA-DRB1	AMPL	8.790	63.006	0.189	0.189	NA	NA
