GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
ANK2	MUT	676.468	11.137	0.030	0.030	NA	NA
BARD1	MUT	676.468	2.142	0.006	0.006	NA	NA
TP53	MUT	676.468	117.992	0.284	0.284	NA	NA
HLA-DRB1	AMPL	676.468	63.006	0.189	0.189	NA	NA
ITGA4	MUT	676.468	3.787	0.009	0.009	NA	NA
WEE2	MUT	676.468	6.089	0.012	0.015	NA	NA
CDKN2B	DEL	676.468	113.208	0.381	0.448	NA	NA
PTEN	MUT	676.468	98.650	0.290	0.314	NA	NA
SEC61G	AMPL	15.333	42.857	0.162	0.317	NA	NA
PRKY	DEL	11.760	41.272	0.162	0.195	NA	NA
PCDH11Y	DEL	9.598	2.107	0.186	0.198	NA	NA
