GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
ACTB	AMPL	931.416	8.624	0.012	0.012	NA	NA
AMPH	AMPL	931.416	13.070	0.021	0.021	NA	NA
EGFR	AMPL_MUT	931.416	154.537	0.393	0.393	NA	NA
GLI3	AMPL	931.416	11.426	0.018	0.018	NA	NA
HUS1	AMPL	931.416	10.125	0.015	0.018	NA	NA
ITGB8	AMPL	931.416	8.310	0.015	0.015	NA	NA
PIK3C2B	AMPL	931.416	21.359	0.052	0.055	NA	NA
PPIA	AMPL	931.416	11.143	0.018	0.018	NA	NA
PSMA2	AMPL	931.416	10.125	0.015	0.015	NA	NA
PTEN	MUT	931.416	98.650	0.290	0.314	NA	NA
RAC1	AMPL	931.416	5.533	0.006	0.006	NA	NA
RB1	MUT	931.416	30.243	0.067	0.070	NA	NA
SEC61G	AMPL	931.416	42.857	0.162	0.317	NA	NA
IKZF1	AMPL	931.416	14.406	0.030	0.030	NA	NA
CBX3	AMPL	931.416	5.533	0.006	0.012	NA	NA
IGFBP3	AMPL	931.416	5.879	0.018	0.018	NA	NA
BTG2	AMPL	931.416	3.168	0.006	0.012	NA	NA
ADCYAP1R1	AMPL	931.416	5.481	0.006	0.018	NA	NA
RALA	AMPL	7.737	5.744	0.012	0.012	NA	NA
