GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
AKT1	MUT	421.584	2.978	0.012	0.012	NA	NA
EGFR	AMPL_MUT	421.584	154.537	0.393	0.393	NA	NA
PIK3CB	MUT	421.584	4.899	0.009	0.009	NA	NA
SYNJ1	AMPL	421.584	2.567	0.006	0.006	NA	NA
HLA-DRB1	AMPL	421.584	63.006	0.189	0.189	NA	NA
NF1	MUT	421.584	25.365	0.055	0.095	NA	NA
VEGFA	MUT	421.584	5.203	0.012	0.012	NA	NA
PCDHB4	MUT	16.516	0.092	0.006	0.006	NA	NA
CHL1	MUT	5.715	3.799	0.015	0.021	NA	NA
CACNA1H	MUT	3.136	1.549	0.027	0.043	NA	NA
RYR3	MUT	3.136	2.313	0.040	0.052	NA	NA
