GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
COL6A2	MUT	136.409	11.904	0.027	0.027	NA	NA
DNMBP	MUT	136.409	6.812	0.018	0.024	NA	NA
PTEN	MUT	136.409	98.650	0.290	0.314	NA	NA
PIK3C2B	AMPL	136.409	21.359	0.052	0.055	NA	NA
CELSR3	MUT	12.732	0.094	0.012	0.012	NA	NA
PCDH15	DEL	12.732	0.276	0.027	0.027	NA	NA
ELAVL2	DEL	4.155	0.343	0.088	0.143	NA	NA
CACNA1E	MUT	3.133	2.142	0.015	0.015	NA	NA
CDKN2A	DEL	2.685	131.720	0.448	0.470	NA	NA
CDKN2B	DEL	2.685	113.208	0.381	0.448	NA	NA
