GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
CNOT2	AMPL	184.846	7.654	0.012	0.021	NA	NA
IFNG	AMPL	184.846	15.768	0.034	0.034	NA	NA
MDM2	AMPL	184.846	21.170	0.049	0.076	NA	NA
RAN	DEL	184.846	0.564	0.003	0.003	NA	NA
FRS2	AMPL	184.846	9.653	0.024	0.024	NA	NA
PRKY	DEL	184.846	41.272	0.162	0.195	NA	NA
PTEN	MUT	184.846	98.650	0.290	0.314	NA	NA
FZD10	DEL	24.375	0.354	0.006	0.012	NA	NA
CCT2	AMPL	22.193	7.267	0.024	0.030	NA	NA
PCDH11Y	DEL	6.856	2.107	0.186	0.198	NA	NA
