GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
ATR	MUT	115.793	7.677	0.018	0.018	NA	NA
CDKN2A	DEL	115.793	131.720	0.448	0.470	NA	NA
TP53	MUT	115.793	117.992	0.284	0.284	NA	NA
CDKN2B	DEL	115.793	113.208	0.381	0.448	NA	NA
EPPK1	MUT	115.793	3.079	0.015	0.018	NA	NA
FGFR3	AMPL	115.793	6.604	0.015	0.015	NA	NA
PRKY	DEL	43.713	41.272	0.162	0.195	NA	NA
RIMS2	MUT	40.190	11.179	0.034	0.034	NA	NA
PCDH11Y	DEL	10.060	2.107	0.186	0.198	NA	NA
PCDHAC2	MUT	10.060	1.786	0.101	0.101	NA	NA
