GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
ANK2	MUT	316.362	11.145	0.030	0.030	NA	NA
EGFR	MUT	316.362	155.506	0.393	0.393	NA	NA
LAMA2	MUT	316.362	11.283	0.018	0.018	NA	NA
PLG	MUT	316.362	4.395	0.009	0.009	NA	NA
F8	MUT	316.362	4.055	0.015	0.015	NA	NA
COL6A3	MUT	316.362	12.815	0.034	0.034	NA	NA
CDKN2A	DEL	316.362	131.575	0.448	0.470	NA	NA
PTEN	MUT	316.362	98.845	0.290	0.314	NA	NA
PCDH15	MUT	9.520	0.276	0.027	0.027	NA	NA
BRCA1	MUT	6.227	4.615	0.012	0.012	NA	NA
SLIT3	MUT	4.367	0.023	0.006	0.030	NA	NA
CACNA1C	MUT	3.138	0.978	0.012	0.015	NA	NA
CACNA1I	MUT	3.138	1.455	0.012	0.012	NA	NA
