GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
CCNE2	MUT	84.123	1.568	0.006	0.006	NA	NA
CDK4	AMPL	84.123	46.869	0.113	0.116	NA	NA
DCTN2	AMPL	84.123	25.433	0.061	0.064	NA	NA
IFNG	AMPL	84.123	15.810	0.034	0.034	NA	NA
STAT6	AMPL	84.123	10.159	0.021	0.021	NA	NA
KIF5A	AMPL	84.123	15.267	0.037	0.064	NA	NA
COL14A1	MUT	42.222	4.803	0.015	0.015	NA	NA
GABRG2	MUT	22.019	3.620	0.009	0.009	NA	NA
PRKY	DEL	11.196	41.472	0.162	0.195	NA	NA
PCDH11Y	DEL	5.796	2.133	0.186	0.198	NA	NA
PCDHAC2	MUT	5.796	1.786	0.101	0.101	NA	NA
HLA-DRB1	AMPL	5.439	63.512	0.189	0.189	NA	NA
MRE11A	MUT	2.773	0.008	0.003	0.003	NA	NA
