GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
EGFR	MUT	714.412	154.537	0.393	0.393	NA	NA
GRIN2A	MUT	714.412	7.340	0.024	0.024	NA	NA
LAMA5	MUT	714.412	9.379	0.015	0.015	NA	NA
LRP1	MUT	714.412	17.638	0.034	0.034	NA	NA
MAPKAPK3	MUT	714.412	2.178	0.003	0.003	NA	NA
TFAP2B	MUT	714.412	2.178	0.003	0.006	NA	NA
SGOL1	MUT	714.412	2.178	0.003	0.003	NA	NA
CDH15	MUT	36.249	2.345	0.006	0.006	NA	NA
ADAM12	MUT	15.302	9.839	0.021	0.024	NA	NA
MACF1	MUT	2.936	4.332	0.009	0.024	NA	NA
