GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
AKAP6	MUT	1069.999	3.926	0.006	0.009	NA	NA
CDK4	AMPL	1069.999	27.579	0.070	0.116	NA	NA
EGFR	MUT	1069.999	141.260	0.392	0.392	NA	NA
PIK3R1	MUT	1069.999	37.207	0.091	0.091	NA	NA
TP53	MUT	1069.999	115.122	0.283	0.283	NA	NA
HLA-DRB1	AMPL	1069.999	57.525	0.188	0.188	NA	NA
DCTN2	AMPL	1069.999	15.487	0.033	0.064	NA	NA
GLI1	AMPL	1069.999	8.846	0.012	0.064	NA	NA
MAPK8IP3	MUT	1069.999	3.261	0.006	0.006	NA	NA
DDIT3	AMPL	1069.999	3.252	0.003	0.073	NA	NA
ARHGAP9	AMPL	1069.999	3.252	0.003	0.064	NA	NA
