GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
ARAP2	MUT	514.735	3.741	0.006	0.006	NA	NA
CDKN2A	DEL	514.735	174.479	0.421	0.470	NA	NA
SMARCA5	MUT	514.735	2.684	0.006	0.006	NA	NA
TP53	MUT	514.735	159.660	0.284	0.284	NA	NA
SMC1A	AMPL	514.735	4.216	0.012	0.015	NA	NA
PTEN	MUT	514.735	126.731	0.259	0.314	NA	NA
CEP152	DEL	514.735	1.569	0.003	0.003	NA	NA
PRKY	DEL	514.735	74.809	0.174	0.195	NA	NA
PSIP1	DEL	514.735	6.119	0.012	0.012	NA	NA
CER1	DEL	514.735	5.655	0.012	0.015	NA	NA
GRM1	MUT	514.735	3.957	0.009	0.009	NA	NA
PRSS2	AMPL	514.735	7.185	0.018	0.030	NA	NA
ZFP30	MUT	514.735	1.569	0.003	0.006	NA	NA
PCDH11Y	DEL	11.233	29.231	0.189	0.198	NA	NA
ATP8B4	DEL	2.875	0.053	0.018	0.018	NA	NA
RPS4Y1	DEL	2.547	2.683	0.027	0.192	NA	NA
ALAS2	AMPL	2.537	0.008	0.003	0.003	NA	NA
