GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
ATRX	MUT	498.576	1.541	0.006	0.043	NA	NA
CDKN2A	DEL	498.576	174.479	0.421	0.470	NA	NA
TP53	MUT	498.576	159.660	0.284	0.284	NA	NA
HSPG2	MUT	498.576	15.492	0.021	0.024	NA	NA
PRKCD	MUT	498.576	3.752	0.009	0.009	NA	NA
VAMP7	MUT	498.576	1.520	0.003	0.009	NA	NA
PAPOLA	MUT	498.576	1.520	0.003	0.006	NA	NA
ZNF718	MUT	498.576	1.553	0.009	0.012	NA	NA
FSHR	MUT	5.998	0.018	0.003	0.003	NA	NA
FFAR2	MUT	3.280	0.010	0.003	0.009	NA	NA
RAP2B	MUT	3.257	0.010	0.003	0.003	NA	NA
