GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
KALRN	MUT	324.768	2.744	0.009	0.012	NA	NA
PIK3R1	MUT	324.768	51.800	0.091	0.091	NA	NA
TP53	MUT	324.768	159.660	0.284	0.284	NA	NA
SSTR5	MUT	324.768	0.990	0.003	0.003	NA	NA
ATN1	MUT	32.205	4.920	0.009	0.015	NA	NA
CD79B	DEL	32.205	0.098	0.003	0.006	NA	NA
PCDH11Y	DEL	8.605	29.231	0.189	0.198	NA	NA
C3	MUT	5.874	0.228	0.018	0.018	NA	NA
EVPL	MUT	3.369	0.029	0.009	0.012	NA	NA
PRKY	DEL	3.130	74.809	0.174	0.195	NA	NA
NCKAP1	MUT	2.775	0.008	0.003	0.003	NA	NA
TTN	MUT	2.724	37.836	0.098	0.207	NA	NA
