GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
CDKN2A	DEL	246.952	174.479	0.421	0.470	NA	NA
RB1	MUT	246.952	36.394	0.061	0.070	NA	NA
ITGAM	MUT	246.952	6.275	0.015	0.015	NA	NA
PTPRB	MUT	246.952	4.406	0.012	0.021	NA	NA
KDR	MUT	246.952	14.455	0.024	0.064	NA	NA
PTEN	MUT	246.952	126.731	0.259	0.314	NA	NA
RIMS2	MUT	246.952	2.076	0.009	0.034	NA	NA
ZNF41	MUT	8.565	0.026	0.003	0.003	NA	NA
RYR2	MUT	7.805	11.016	0.030	0.079	NA	NA
LRP2	MUT	6.299	16.539	0.043	0.046	NA	NA
TACR3	MUT	4.896	0.053	0.009	0.009	NA	NA
