GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
DSG3	MUT	1066.296	3.251	0.003	0.018	NA	NA
MMP9	MUT	1066.296	4.548	0.006	0.006	NA	NA
PRKY	DEL	1066.296	74.809	0.174	0.195	NA	NA
PSMD4	MUT	1066.296	3.251	0.003	0.003	NA	NA
PTEN	MUT	1066.296	126.731	0.259	0.314	NA	NA
TP53	MUT	1066.296	159.660	0.284	0.284	NA	NA
PCDH11Y	DEL	1066.296	29.231	0.189	0.198	NA	NA
RBMY1A1	DEL	9.414	4.118	0.018	0.149	NA	NA
ZNF860	MUT	9.272	0.128	0.006	0.006	NA	NA
RPS4Y1	DEL	3.197	2.683	0.027	0.192	NA	NA
DNAH7	MUT	2.857	0.009	0.003	0.015	NA	NA
