GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
CDC2L1	DEL	425.654	8.290	0.012	0.021	NA	NA
CDK4	AMPL	425.654	64.369	0.113	0.116	NA	NA
PIK3CA	MUT	425.654	54.815	0.091	0.091	NA	NA
TP53	MUT	425.654	159.660	0.284	0.284	NA	NA
TYK2	MUT	425.654	2.586	0.012	0.012	NA	NA
GLI1	AMPL	425.654	40.388	0.064	0.064	NA	NA
HLA-DRB1	AMPL	425.654	79.274	0.171	0.189	NA	NA
IRAK3	MUT	425.654	7.149	0.018	0.024	NA	NA
ZNF181	MUT	23.528	0.104	0.006	0.009	NA	NA
INHBC	AMPL	6.167	1.536	0.012	0.052	NA	NA
PIP4K2C	AMPL	3.533	9.208	0.021	0.076	NA	NA
KIF5A	AMPL	3.009	19.046	0.055	0.064	NA	NA
