GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
BCR	MUT	401.537	1.224	0.003	0.009	NA	NA
FRS2	AMPL	401.537	3.674	0.012	0.024	NA	NA
PTPRB	AMPL	401.537	4.406	0.012	0.021	NA	NA
CDK4	AMPL	401.537	64.369	0.113	0.116	NA	NA
MDM2	AMPL	401.537	11.506	0.018	0.076	NA	NA
YEATS4	AMPL	401.537	8.337	0.021	0.024	NA	NA
CTDSP2	AMPL	401.537	6.833	0.012	0.095	NA	NA
CD3G	AMPL	401.537	19.726	0.024	0.030	NA	NA
CCT2	AMPL	17.780	3.405	0.018	0.030	NA	NA
LYZ	AMPL	9.974	0.305	0.015	0.027	NA	NA
PPYR1	DEL	6.065	13.535	0.037	0.040	NA	NA
