GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
HLA-DRB1	AMPL	304.061	79.274	0.171	0.189	NA	NA
IKZF1	MUT	304.061	8.054	0.015	0.030	NA	NA
ITGAX	MUT	304.061	4.819	0.018	0.018	NA	NA
PIK3CG	MUT	304.061	16.495	0.027	0.037	NA	NA
TP53	MUT	304.061	159.660	0.284	0.284	NA	NA
MCM3	MUT	304.061	1.730	0.006	0.006	NA	NA
MYC	AMPL	304.061	2.882	0.006	0.006	NA	NA
PRKCD	MUT	304.061	3.752	0.009	0.009	NA	NA
POU5F1	AMPL	304.061	3.680	0.009	0.009	NA	NA
RYR3	MUT	19.795	4.814	0.024	0.052	NA	NA
PCDHGC5	MUT	5.117	13.926	0.085	0.110	NA	NA
ACVR1C	MUT	3.539	0.011	0.003	0.006	NA	NA
ATP8B4	MUT	2.968	0.053	0.018	0.018	NA	NA
