GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
A2M	MUT	365.651	1.115	0.003	0.012	NA	NA
FZD9	MUT	365.651	4.585	0.009	0.015	NA	NA
COL3A1	MUT	365.651	9.083	0.015	0.018	NA	NA
EGFR	MUT	365.651	212.175	0.393	0.393	NA	NA
PTEN	MUT	365.651	126.731	0.259	0.314	NA	NA
PTCH1	MUT	365.651	1.115	0.003	0.006	NA	NA
CTNNB1	MUT	365.651	2.743	0.006	0.006	NA	NA
RYR2	MUT	365.651	11.016	0.030	0.079	NA	NA
SMARCA5	MUT	365.651	2.684	0.006	0.006	NA	NA
HLA-DRB1	AMPL	365.651	79.274	0.171	0.189	NA	NA
NFATC1	MUT	365.651	1.115	0.003	0.003	NA	NA
MARK4	MUT	3.598	0.019	0.006	0.009	NA	NA
ZNF274	MUT	2.947	0.009	0.003	0.006	NA	NA
ZNF813	MUT	2.536	0.017	0.006	0.009	NA	NA
