GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
CDK4	AMPL	163.923	64.369	0.113	0.116	NA	NA
RHOB	AMPL	163.923	2.333	0.006	0.006	NA	NA
TP53	MUT	163.923	159.660	0.284	0.284	NA	NA
DCTN2	AMPL	163.923	9.271	0.021	0.064	NA	NA
KIT	AMPL	163.923	21.746	0.055	0.076	NA	NA
RALA	AMPL	163.923	9.090	0.009	0.012	NA	NA
KIF5A	AMPL	163.923	19.046	0.055	0.064	NA	NA
F5	MUT	49.463	10.644	0.018	0.021	NA	NA
GRASP	AMPL	49.463	0.151	0.003	0.003	NA	NA
ACVRL1	AMPL	14.260	0.057	0.006	0.006	NA	NA
IAPP	AMPL	9.455	0.029	0.003	0.012	NA	NA
SMARCD1	AMPL	3.817	0.012	0.003	0.003	NA	NA
NCKAP1L	AMPL	3.154	4.223	0.006	0.009	NA	NA
ZNF430	MUT	3.026	0.026	0.006	0.006	NA	NA
APOB	AMPL	3.008	17.396	0.037	0.040	NA	NA
HOMER3	MUT	2.901	0.009	0.003	0.006	NA	NA
KCNS3	AMPL	2.865	0.029	0.006	0.009	NA	NA
