GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
ASAP1	MUT	191.305	2.115	0.006	0.006	NA	NA
COL4A5	DEL	191.305	1.788	0.006	0.012	NA	NA
PTEN	MUT	191.305	126.731	0.259	0.314	NA	NA
RASGRF1	MUT	191.305	2.806	0.009	0.009	NA	NA
PIK3CA	MUT	191.305	54.815	0.091	0.091	NA	NA
MED12	MUT	191.305	0.591	0.006	0.012	NA	NA
NOTCH4	DEL	13.371	7.436	0.012	0.012	NA	NA
MYOD1	MUT	11.186	0.034	0.003	0.003	NA	NA
CP	MUT	7.270	3.465	0.009	0.012	NA	NA
PCDH11Y	DEL	6.643	29.231	0.189	0.198	NA	NA
NUP210	MUT	5.623	0.017	0.003	0.003	NA	NA
PRKY	DEL	5.481	74.809	0.174	0.195	NA	NA
NPY2R	MUT	3.468	0.011	0.003	0.003	NA	NA
ZNF180	MUT	2.589	0.008	0.003	0.003	NA	NA
