GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
CDK4	AMPL	427.875	64.369	0.113	0.116	NA	NA
CDKN2A	DEL	427.875	174.479	0.421	0.470	NA	NA
PRKCD	MUT	427.875	3.752	0.009	0.009	NA	NA
DMD	MUT	427.875	20.171	0.040	0.040	NA	NA
EGFR	AMPL	427.875	212.175	0.393	0.393	NA	NA
LAMA2	MUT	427.875	7.166	0.012	0.018	NA	NA
TAP1	MUT	427.875	1.304	0.003	0.003	NA	NA
GRM1	MUT	427.875	3.957	0.009	0.009	NA	NA
SLC6A3	MUT	427.875	7.884	0.018	0.018	NA	NA
PIK3C2G	MUT	427.875	7.495	0.018	0.027	NA	NA
GLI1	AMPL	427.875	40.388	0.064	0.064	NA	NA
DCTN2	AMPL	24.981	9.271	0.021	0.064	NA	NA
KIF5A	AMPL	24.981	19.046	0.055	0.064	NA	NA
PPFIBP1	MUT	5.937	0.055	0.009	0.015	NA	NA
PCDHAC2	MUT	4.276	5.998	0.055	0.101	NA	NA
ARHGAP9	AMPL	3.000	0.027	0.006	0.064	NA	NA
LUM	MUT	2.950	2.882	0.012	0.012	NA	NA
SCML2	MUT	2.819	1.721	0.006	0.006	NA	NA
MED12	MUT	2.648	0.591	0.006	0.012	NA	NA
