GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
ANK3	MUT	401.109	1.223	0.003	0.012	NA	NA
CDKN2A	DEL	401.109	174.479	0.421	0.470	NA	NA
CREBBP	MUT	401.109	6.554	0.015	0.015	NA	NA
DOCK2	MUT	401.109	2.943	0.009	0.018	NA	NA
EGFR	MUT	401.109	212.175	0.393	0.393	NA	NA
LRP1	MUT	401.109	22.396	0.030	0.034	NA	NA
PRKY	DEL	401.109	74.809	0.174	0.195	NA	NA
PIK3C2G	MUT	401.109	7.495	0.018	0.027	NA	NA
LRRC7	MUT	401.109	3.840	0.012	0.015	NA	NA
F5	MUT	401.109	10.644	0.018	0.021	NA	NA
PDYN	MUT	401.109	5.735	0.009	0.009	NA	NA
KLC2	MUT	18.525	0.056	0.003	0.003	NA	NA
PCDH11Y	DEL	10.474	29.231	0.189	0.198	NA	NA
PTPRD	MUT	5.985	4.135	0.015	0.015	NA	NA
CNTNAP2	MUT	5.214	0.045	0.012	0.049	NA	NA
PRDM9	MUT	2.918	1.969	0.015	0.024	NA	NA
AP3S1	MUT	2.699	0.017	0.006	0.009	NA	NA
OBSCN	MUT	2.681	0.052	0.012	0.030	NA	NA
