GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
BMI1	AMPL	516.579	1.575	0.003	0.015	NA	NA
ERBB2	MUT	516.579	6.180	0.018	0.021	NA	NA
ITGA8	AMPL	516.579	8.779	0.015	0.015	NA	NA
ITGB1	AMPL	516.579	12.760	0.018	0.018	NA	NA
PPP2R5D	MUT	516.579	1.575	0.003	0.003	NA	NA
CEP135	AMPL	516.579	6.032	0.021	0.027	NA	NA
HSPA14	AMPL	516.579	1.575	0.003	0.015	NA	NA
KIF5B	AMPL	516.579	6.356	0.012	0.018	NA	NA
VIM	AMPL	516.579	5.635	0.009	0.015	NA	NA
EPC1	AMPL	516.579	12.700	0.018	0.018	NA	NA
SRP72	AMPL	516.579	1.637	0.012	0.021	NA	NA
IGFBP7	AMPL	516.579	7.070	0.015	0.015	NA	NA
KIT	AMPL	516.579	21.746	0.055	0.076	NA	NA
CALML5	AMPL	516.579	7.842	0.015	0.015	NA	NA
PCDH9	DEL	18.669	0.057	0.003	0.015	NA	NA
CUGBP2	AMPL	13.127	0.040	0.003	0.012	NA	NA
POLR2B	AMPL	13.127	3.081	0.015	0.018	NA	NA
CLOCK	AMPL	5.759	5.831	0.015	0.037	NA	NA
NRP1	AMPL	4.662	3.928	0.012	0.018	NA	NA
ISL1	MUT	4.617	0.014	0.003	0.003	NA	NA
PRTFDC1	AMPL	3.844	0.020	0.006	0.012	NA	NA
GDI2	AMPL	3.642	0.011	0.003	0.012	NA	NA
EDNRB	DEL	3.624	0.011	0.003	0.003	NA	NA
PTF1A	AMPL	2.895	2.240	0.012	0.012	NA	NA
ABI1	AMPL	2.739	0.016	0.006	0.015	NA	NA
