GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
ABCB1	MUT	649.365	2.723	0.006	0.037	NA	NA
GRIN2A	MUT	649.365	17.131	0.024	0.024	NA	NA
HLA-F	MUT	649.365	1.980	0.003	0.003	NA	NA
MAPK13	MUT	649.365	5.940	0.009	0.009	NA	NA
PLCG1	MUT	649.365	3.890	0.012	0.012	NA	NA
PTEN	MUT	649.365	126.731	0.259	0.314	NA	NA
PGR	MUT	649.365	12.425	0.015	0.018	NA	NA
CDKN2A	DEL	649.365	174.479	0.421	0.470	NA	NA
KIT	AMPL	649.365	21.746	0.055	0.076	NA	NA
SMARCC2	MUT	649.365	8.402	0.009	0.015	NA	NA
PCM1	MUT	649.365	1.980	0.003	0.006	NA	NA
ZNF430	MUT	5.350	0.026	0.006	0.006	NA	NA
SNX9	MUT	3.728	1.226	0.006	0.009	NA	NA
