GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
FRYL	MUT	848.909	2.588	0.003	0.009	NA	NA
GRM8	MUT	848.909	7.920	0.018	0.024	NA	NA
HTR7	MUT	848.909	3.780	0.006	0.018	NA	NA
PRKY	DEL	848.909	74.809	0.174	0.195	NA	NA
PTEN	MUT	848.909	126.731	0.259	0.314	NA	NA
TTN	MUT	848.909	37.836	0.098	0.207	NA	NA
RPS4Y1	DEL	848.909	2.683	0.027	0.192	NA	NA
IKZF1	MUT	848.909	8.054	0.015	0.030	NA	NA
PCDH11Y	DEL	6.190	29.231	0.189	0.198	NA	NA
TBL1Y	DEL	5.547	6.527	0.024	0.195	NA	NA
