GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
COL1A2	MUT	327.565	25.619	0.043	0.043	NA	NA
LRP1	MUT	327.565	22.396	0.030	0.034	NA	NA
TP53	MUT	327.565	159.660	0.284	0.284	NA	NA
NDC80	MUT	327.565	0.999	0.003	0.003	NA	NA
PTEN	MUT	327.565	126.731	0.259	0.314	NA	NA
NUP188	MUT	327.565	0.999	0.003	0.003	NA	NA
SLC6A3	MUT	327.565	7.884	0.018	0.018	NA	NA
PRKAG3	MUT	5.472	0.017	0.003	0.003	NA	NA
KIT	AMPL	4.539	21.746	0.055	0.076	NA	NA
STARD8	MUT	3.995	0.012	0.003	0.003	NA	NA
TNFRSF1A	MUT	3.497	2.415	0.006	0.009	NA	NA
