GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
GNAT3	MUT	87.095	13.377	0.024	0.027	NA	NA
PIK3R5	MUT	87.095	0.266	0.003	0.003	NA	NA
RGS10	DEL	87.095	2.299	0.006	0.018	NA	NA
RYR1	MUT	87.095	0.266	0.003	0.015	NA	NA
GRK5	DEL	87.095	10.262	0.018	0.018	NA	NA
DACH1	MUT	42.092	0.128	0.003	0.006	NA	NA
IRS4	MUT	35.812	0.109	0.003	0.012	NA	NA
NEFH	MUT	35.812	1.473	0.006	0.006	NA	NA
CDKN2A	DEL	18.438	174.479	0.421	0.470	NA	NA
CDKN2B	DEL	18.438	10.842	0.046	0.448	NA	NA
TRRAP	MUT	18.438	8.985	0.027	0.034	NA	NA
ADAM2	MUT	2.982	1.230	0.006	0.006	NA	NA
ZNF235	MUT	2.801	0.076	0.006	0.006	NA	NA
