GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
CDKN2A	DEL	455.750	174.479	0.421	0.470	NA	NA
SMARCA2	DEL	455.750	7.402	0.018	0.021	NA	NA
TP53	MUT	455.750	159.660	0.284	0.284	NA	NA
TSC2	MUT	455.750	7.958	0.012	0.012	NA	NA
LAMA2	MUT	455.750	7.166	0.012	0.018	NA	NA
GNGT2	MUT	455.750	2.752	0.006	0.006	NA	NA
PRKY	DEL	455.750	74.809	0.174	0.195	NA	NA
PCDH11Y	DEL	455.750	29.231	0.189	0.198	NA	NA
ZNF844	MUT	9.459	0.088	0.012	0.018	NA	NA
VLDLR	DEL	3.684	3.863	0.009	0.012	NA	NA
HNRNPU	MUT	2.576	3.021	0.009	0.012	NA	NA
KCNV2	DEL	2.522	1.684	0.009	0.012	NA	NA
