GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
CDKN2A	DEL	601.414	174.479	0.421	0.470	NA	NA
CLOCK	AMPL	601.414	5.831	0.015	0.037	NA	NA
MAPK9	MUT	601.414	4.941	0.006	0.006	NA	NA
MLH1	MUT	601.414	1.834	0.003	0.006	NA	NA
POLR2B	AMPL	601.414	3.081	0.015	0.018	NA	NA
USF1	MUT	601.414	1.834	0.003	0.003	NA	NA
RHOB	AMPL	601.414	2.333	0.006	0.006	NA	NA
KLHL9	DEL	601.414	10.024	0.058	0.229	NA	NA
PMF1	AMPL	601.414	3.788	0.006	0.006	NA	NA
PTEN	MUT	601.414	126.731	0.259	0.314	NA	NA
CEP135	AMPL	601.414	6.032	0.021	0.027	NA	NA
MAPK7	MUT	601.414	3.867	0.006	0.006	NA	NA
NTRK1	MUT	601.414	2.757	0.006	0.006	NA	NA
ROCK2	AMPL	601.414	2.352	0.006	0.006	NA	NA
KDR	AMPL	601.414	14.455	0.024	0.064	NA	NA
ODC1	AMPL	601.414	1.834	0.003	0.003	NA	NA
GRM5	AMPL	601.414	5.881	0.012	0.012	NA	NA
FZD4	AMPL	601.414	1.834	0.003	0.003	NA	NA
IGFBP7	AMPL	601.414	7.070	0.015	0.015	NA	NA
FGFR2	AMPL	13.690	6.314	0.012	0.027	NA	NA
KIT	AMPL	13.690	21.746	0.055	0.076	NA	NA
ITGB2	MUT	11.831	1.135	0.009	0.012	NA	NA
PCDH11Y	DEL	10.978	29.231	0.189	0.198	NA	NA
SRP72	AMPL	5.166	1.637	0.012	0.021	NA	NA
RPS4Y1	DEL	2.545	2.683	0.027	0.192	NA	NA
