GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
ACTB	AMPL	786.738	12.944	0.012	0.012	NA	NA
ACTG1	AMPL	786.738	10.989	0.009	0.012	NA	NA
COL1A2	AMPL	786.738	25.619	0.043	0.043	NA	NA
EGFR	AMPL_MUT	786.738	212.175	0.393	0.393	NA	NA
GNAI1	AMPL	786.738	12.893	0.018	0.018	NA	NA
GNGT1	AMPL	786.738	11.600	0.015	0.015	NA	NA
RHOBTB2	MUT	786.738	2.399	0.003	0.003	NA	NA
CDKN2A	MUT	786.738	174.479	0.421	0.470	NA	NA
LIMK1	AMPL	786.738	5.869	0.009	0.015	NA	NA
ZNF713	AMPL	15.589	7.057	0.076	0.116	NA	NA
POR	AMPL	3.135	1.994	0.012	0.015	NA	NA
HIP1	AMPL	2.539	0.024	0.006	0.015	NA	NA
