GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
APOB	MUT	1341.464	17.396	0.037	0.040	NA	NA
BSG	DEL	1341.464	5.331	0.006	0.006	NA	NA
FHL2	AMPL	1341.464	4.090	0.003	0.003	NA	NA
GNAQ	DEL	1341.464	4.090	0.003	0.003	NA	NA
MAPK8	DEL	1341.464	13.570	0.018	0.018	NA	NA
RASA1	DEL	1341.464	4.090	0.003	0.003	NA	NA
NCK2	AMPL	1341.464	4.090	0.003	0.003	NA	NA
NPAS2	AMPL	1341.464	4.090	0.003	0.003	NA	NA
PRKACG	DEL	1341.464	4.090	0.003	0.003	NA	NA
RAD50	DEL	1341.464	4.100	0.006	0.006	NA	NA
RANBP2	AMPL	1341.464	4.090	0.003	0.003	NA	NA
ZWINT	DEL	1341.464	10.244	0.012	0.015	NA	NA
TLE1	DEL	1341.464	4.090	0.003	0.003	NA	NA
TP53	MUT	1341.464	159.660	0.284	0.284	NA	NA
UBE2D1	DEL	1341.464	10.244	0.012	0.012	NA	NA
SMARCA2	DEL	1341.464	7.402	0.018	0.021	NA	NA
NCAPH	AMPL	1341.464	4.090	0.003	0.003	NA	NA
TUBG2	MUT	1341.464	4.090	0.003	0.003	NA	NA
LIMS1	AMPL	1341.464	4.090	0.003	0.003	NA	NA
SYK	DEL	1341.464	4.090	0.003	0.003	NA	NA
PCSK1	DEL	1341.464	4.100	0.006	0.006	NA	NA
NF1	MUT	1341.464	15.324	0.021	0.095	NA	NA
RASGRF2	DEL	1341.464	9.839	0.009	0.009	NA	NA
CDC2L1	DEL	1341.464	8.290	0.012	0.021	NA	NA
MSH3	DEL	1341.464	4.090	0.003	0.003	NA	NA
HLA-DRB1	AMPL	1341.464	79.274	0.171	0.189	NA	NA
IL13	DEL	1341.464	4.090	0.003	0.003	NA	NA
SHC2	DEL	1341.464	4.090	0.003	0.006	NA	NA
CTSL1	DEL	1341.464	4.090	0.003	0.003	NA	NA
PTPRD	DEL_MUT	1341.464	4.135	0.015	0.015	NA	NA
ZNF324	MUT	1341.464	5.928	0.006	0.006	NA	NA
KCNIP3	AMPL	1341.464	4.090	0.003	0.003	NA	NA
PCDH15	DEL	1341.464	4.189	0.015	0.027	NA	NA
TJP2	DEL	1341.464	4.090	0.003	0.003	NA	NA
MAP4K4	AMPL	1341.464	8.941	0.009	0.009	NA	NA
SEPT10	AMPL	11.266	0.034	0.003	0.006	NA	NA
CFD	DEL	9.112	0.028	0.003	0.006	NA	NA
PRKG1	DEL	9.034	0.789	0.012	0.018	NA	NA
IL18R1	AMPL	6.256	0.019	0.003	0.009	NA	NA
HMHA1	DEL	5.905	1.512	0.006	0.009	NA	NA
KIF3A	DEL	5.878	0.018	0.003	0.003	NA	NA
DKK1	DEL	3.468	0.011	0.003	0.018	NA	NA
CD82	DEL	3.106	0.009	0.003	0.003	NA	NA
ACTR1B	AMPL	2.762	0.008	0.003	0.003	NA	NA
RPS23	DEL	2.618	0.008	0.003	0.003	NA	NA
