GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
CHRDL2	MUT	589.025	3.852	0.006	0.006	NA	NA
GNA15	MUT	589.025	1.796	0.003	0.003	NA	NA
HLA-DRB1	AMPL	589.025	79.274	0.171	0.189	NA	NA
LAMA3	MUT	589.025	6.143	0.012	0.012	NA	NA
PIK3R1	MUT	589.025	51.800	0.091	0.091	NA	NA
RB1	MUT	589.025	36.394	0.061	0.070	NA	NA
TP53	MUT	589.025	159.660	0.284	0.284	NA	NA
PTEN	MUT	589.025	126.731	0.259	0.314	NA	NA
PRDM9	MUT	589.025	1.969	0.015	0.024	NA	NA
PCDH11Y	DEL	16.482	29.231	0.189	0.198	NA	NA
IL6	MUT	4.437	4.152	0.009	0.015	NA	NA
PRKY	DEL	2.527	74.809	0.174	0.195	NA	NA
