GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
CDK4	AMPL	667.009	64.369	0.113	0.116	NA	NA
NUP107	MUT	667.009	11.638	0.021	0.021	NA	NA
TP53	MUT	667.009	159.660	0.284	0.284	NA	NA
EGFR	AMPL_MUT	667.009	212.175	0.393	0.393	NA	NA
PIK3CA	MUT	667.009	54.815	0.091	0.091	NA	NA
TTN	MUT	667.009	37.836	0.098	0.207	NA	NA
CDK5	AMPL	667.009	10.485	0.012	0.012	NA	NA
NOS3	AMPL	667.009	18.078	0.027	0.027	NA	NA
PTEN	MUT	667.009	126.731	0.259	0.314	NA	NA
CUL1	AMPL	667.009	15.123	0.021	0.021	NA	NA
GLI1	AMPL	667.009	40.388	0.064	0.064	NA	NA
IL1R1	MUT	667.009	2.034	0.003	0.009	NA	NA
PAK3	MUT	667.009	2.034	0.003	0.003	NA	NA
ZNF212	AMPL	667.009	4.211	0.009	0.012	NA	NA
PGR	MUT	667.009	12.425	0.015	0.018	NA	NA
ZNF786	AMPL	667.009	2.069	0.006	0.018	NA	NA
ITPR3	MUT	667.009	9.025	0.012	0.018	NA	NA
CFH	MUT	8.106	0.164	0.018	0.021	NA	NA
SMARCA2	MUT	6.829	7.402	0.018	0.021	NA	NA
PDIA4	AMPL	6.216	0.079	0.009	0.012	NA	NA
PRKAG2	AMPL	5.651	3.353	0.015	0.018	NA	NA
NUB1	AMPL	5.438	0.026	0.006	0.018	NA	NA
ANK1	MUT	3.013	9.484	0.021	0.037	NA	NA
EN2	AMPL	2.974	0.009	0.003	0.012	NA	NA
RHEB	AMPL	2.829	0.026	0.009	0.015	NA	NA
