GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
CCT6A	AMPL	715.458	16.576	0.073	0.082	NA	NA
CDK4	AMPL	715.458	64.369	0.113	0.116	NA	NA
EGFR	AMPL_MUT	715.458	212.175	0.393	0.393	NA	NA
PIK3CA	MUT	715.458	54.815	0.091	0.091	NA	NA
TP53	MUT	715.458	159.660	0.284	0.284	NA	NA
ITGAM	MUT	715.458	6.275	0.015	0.015	NA	NA
TGFBR1	MUT	715.458	2.189	0.006	0.006	NA	NA
DCTN2	AMPL	715.458	9.271	0.021	0.064	NA	NA
GLI1	AMPL	715.458	40.388	0.064	0.064	NA	NA
KIF5A	AMPL	715.458	19.046	0.055	0.064	NA	NA
ZNF713	AMPL	39.293	7.057	0.076	0.116	NA	NA
SEC61G	AMPL	9.181	13.748	0.122	0.317	NA	NA
EXOSC5	MUT	5.727	0.017	0.003	0.006	NA	NA
PHKG1	AMPL	5.156	11.850	0.064	0.079	NA	NA
SIX4	MUT	3.929	0.012	0.003	0.003	NA	NA
NRP1	MUT	3.615	3.928	0.012	0.018	NA	NA
ROBO1	MUT	2.791	1.251	0.009	0.009	NA	NA
PRPS2	MUT	2.755	0.008	0.003	0.006	NA	NA
