GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
CHRNA1	MUT	572.519	1.745	0.003	0.003	NA	NA
EP300	MUT	572.519	5.973	0.009	0.009	NA	NA
FBLN1	MUT	572.519	5.052	0.012	0.012	NA	NA
TP53	MUT	572.519	159.660	0.284	0.284	NA	NA
PRKDC	MUT	572.519	8.781	0.021	0.021	NA	NA
MET	MUT	572.519	8.476	0.015	0.030	NA	NA
NOS3	MUT	572.519	18.078	0.027	0.027	NA	NA
PIK3R1	MUT	572.519	51.800	0.091	0.091	NA	NA
VAV2	MUT	572.519	3.282	0.006	0.009	NA	NA
NOTCH4	MUT	572.519	7.436	0.012	0.012	NA	NA
KALRN	MUT	572.519	2.744	0.009	0.012	NA	NA
TSC1	MUT	6.762	0.021	0.003	0.003	NA	NA
MSI1	MUT	3.177	0.010	0.003	0.009	NA	NA
SNF1LK2	MUT	2.803	0.009	0.003	0.006	NA	NA
