GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
ADAM2	MUT	400.366	1.230	0.006	0.006	NA	NA
DMD	MUT	400.366	20.171	0.040	0.040	NA	NA
HTR2C	MUT	400.366	1.221	0.003	0.003	NA	NA
ITGA1	MUT	400.366	3.430	0.006	0.006	NA	NA
ITGAX	MUT	400.366	4.819	0.018	0.018	NA	NA
LAMB4	MUT	400.366	4.816	0.012	0.018	NA	NA
SRC	MUT	400.366	2.828	0.006	0.006	NA	NA
PDGFRA	MUT	400.366	17.281	0.034	0.055	NA	NA
GABRB3	MUT	400.366	1.221	0.003	0.021	NA	NA
CDC23	MUT	400.366	1.221	0.003	0.003	NA	NA
IFI16	MUT	400.366	3.176	0.006	0.006	NA	NA
PLAT	MUT	400.366	1.221	0.003	0.006	NA	NA
ROBO1	MUT	400.366	1.251	0.009	0.009	NA	NA
HLA-DRB1	AMPL	400.366	79.274	0.171	0.189	NA	NA
IFNGR2	MUT	400.366	1.221	0.003	0.006	NA	NA
ZNF844	MUT	10.950	0.088	0.012	0.018	NA	NA
SEC61G	AMPL	9.512	13.748	0.122	0.317	NA	NA
CEP70	MUT	7.758	0.075	0.009	0.009	NA	NA
PCDHAC2	MUT	6.884	5.998	0.055	0.101	NA	NA
