GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
AKAP9	MUT	1057.018	11.736	0.024	0.027	NA	NA
CALD1	MUT	1057.018	4.952	0.006	0.012	NA	NA
CD7	MUT	1057.018	3.223	0.003	0.006	NA	NA
DMD	MUT	1057.018	20.171	0.040	0.040	NA	NA
EGFR	MUT	1057.018	212.175	0.393	0.393	NA	NA
ESR1	MUT	1057.018	3.223	0.003	0.003	NA	NA
HSPG2	MUT	1057.018	15.492	0.021	0.024	NA	NA
ITGB1	MUT	1057.018	12.760	0.018	0.018	NA	NA
TTN	MUT	1057.018	37.836	0.098	0.207	NA	NA
UTRN	MUT	1057.018	3.232	0.006	0.009	NA	NA
E2F4	MUT	1057.018	3.223	0.003	0.003	NA	NA
PPP2R1B	MUT	1057.018	4.717	0.006	0.006	NA	NA
FGB	MUT	1057.018	3.223	0.003	0.009	NA	NA
PLCH1	MUT	1057.018	4.587	0.006	0.006	NA	NA
IKZF3	MUT	1057.018	3.241	0.006	0.006	NA	NA
TCF3	MUT	1057.018	4.488	0.006	0.006	NA	NA
CDH18	MUT	1057.018	6.730	0.015	0.027	NA	NA
PAX3	MUT	6.433	1.556	0.006	0.009	NA	NA
