GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
CCT6A	AMPL	278.407	16.576	0.073	0.082	NA	NA
COL1A2	MUT	278.407	25.619	0.043	0.043	NA	NA
FLNA	MUT	278.407	6.188	0.015	0.018	NA	NA
EGFR	AMPL_MUT	278.407	212.175	0.393	0.393	NA	NA
PLCG1	MUT	278.407	3.890	0.012	0.012	NA	NA
TP53	MUT	278.407	159.660	0.284	0.284	NA	NA
PRKY	DEL	8.378	74.809	0.174	0.195	NA	NA
MAST2	MUT	7.288	0.022	0.003	0.003	NA	NA
TRRAP	MUT	6.463	8.985	0.027	0.034	NA	NA
ELAVL2	DEL	4.507	18.624	0.088	0.143	NA	NA
PCDH11Y	DEL_MUT	3.919	29.231	0.189	0.198	NA	NA
PTEN	MUT	3.217	126.731	0.259	0.314	NA	NA
ARHGEF16	MUT	2.752	0.008	0.003	0.012	NA	NA
CNTN5	MUT	2.631	0.008	0.003	0.006	NA	NA
SMC3	MUT	2.526	7.928	0.021	0.024	NA	NA
