GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
ADCY8	MUT	807.086	2.461	0.003	0.006	NA	NA
CD3E	MUT	807.086	2.461	0.003	0.006	NA	NA
CDKN2A	DEL	807.086	174.479	0.421	0.470	NA	NA
COL6A3	MUT	807.086	10.465	0.018	0.034	NA	NA
PIK3R1	MUT	807.086	51.800	0.091	0.091	NA	NA
WAS	MUT	807.086	2.461	0.003	0.003	NA	NA
ELK1	MUT	807.086	2.461	0.003	0.003	NA	NA
NOL3	MUT	807.086	2.461	0.003	0.003	NA	NA
DSP	MUT	807.086	6.755	0.012	0.030	NA	NA
PPYR1	DEL	807.086	13.535	0.037	0.040	NA	NA
SOX17	MUT	807.086	2.461	0.003	0.003	NA	NA
ERCC6L	MUT	807.086	3.264	0.006	0.006	NA	NA
PCDHGC5	MUT	807.086	13.926	0.085	0.110	NA	NA
MED15	MUT	807.086	2.461	0.003	0.009	NA	NA
ZNF676	MUT	43.181	0.186	0.009	0.009	NA	NA
